match_id,season,league_code,league,date,home_team,away_team,actual_home_goals,actual_away_goals,league_avg_goals_pre,league_home_goals_pre,league_away_goals_pre,home_recent8_gf,home_recent8_ga,away_recent8_gf,away_recent8_ga,home_home8_gf,home_home8_ga,away_away8_gf,away_away8_ga,home_elo_pre,away_elo_pre,elo_diff_pre,home_rest_days,away_rest_days,home_rest_missing,away_rest_missing,market_home_prob,market_draw_prob,market_away_prob,market_over25_prob,market_under25_prob,market_missing_1x2,market_missing_ou,asian_handicap,asian_abs_depth,market_home_odds,market_draw_odds,market_away_odds,market_over25_odds,market_under25_odds,asian_home_odds,asian_away_odds,xg_base_home,xg_base_away,xg_base_total,xg_base_margin,residual_home,residual_away,lineup_missing,tracking_missing,pregame_xg_missing,source_url
1920|N1|2019-08-02|Zwolle|Willem II,1920,N1,Netherlands Eredivisie,2019-08-02,Zwolle,Willem II,1,3,2.6,1.38,1.22,1.38,1.22,1.22,1.38,1.38,1.22,1.22,1.38,1500.0,1500.0,0.0,7.0,7.0,1,1,0.4243156199677939,0.2745571658615137,0.30112721417069244,0.5526315789473685,0.4473684210526316,0,0,-0.25,0.25,2.2,3.4,3.1,1.7,2.1,2.06,1.84,1.5294640282125502,1.2998031586473326,2.829267186859883,0.22966086956521758,-0.5294640282125502,1.7001968413526674,1,1,1,https://www.football-data.co.uk/mmz4281/1920/N1.csv
1920|N1|2019-08-03|FC Emmen|Groningen,1920,N1,Netherlands Eredivisie,2019-08-03,FC Emmen,Groningen,0,1,4.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1500.0,1500.0,0.0,7.0,7.0,1,1,0.35968050586571265,0.28338464098510696,0.3569348531491805,0.47368421052631576,0.5263157894736842,0,0,0.0,0.0,2.6,3.3,2.62,2.0,1.8,1.92,1.98,1.4438680166462448,1.439716589738848,2.8835846063850927,0.0041514269073967824,-1.4438680166462448,-0.439716589738848,1,1,1,https://www.football-data.co.uk/mmz4281/1920/N1.csv
1920|N1|2019-08-03|Vitesse|Ajax,1920,N1,Netherlands Eredivisie,2019-08-03,Vitesse,Ajax,2,2,4.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1500.0,1500.0,0.0,7.0,7.0,1,1,0.14631673800405498,0.2196440639783735,0.6340391980175715,0.6721311475409837,0.32786885245901637,0,0,1.0,1.0,6.5,4.33,1.5,1.4,2.87,2.02,1.77,1.3347947179144537,2.2458310774548904,3.580625795369344,-0.9110363595404367,0.6652052820855463,-0.2458310774548904,1,1,1,https://www.football-data.co.uk/mmz4281/1920/N1.csv
1920|N1|2019-08-03|Twente|PSV Eindhoven,1920,N1,Netherlands Eredivisie,2019-08-03,Twente,PSV Eindhoven,1,1,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1500.0,1500.0,0.0,7.0,7.0,1,1,0.1431861979315142,0.2149446389272153,0.6418691631412705,0.5994897959183673,0.4005102040816326,0,0,1.0,1.0,6.5,4.33,1.45,1.57,2.35,2.09,1.81,1.0763727209486385,2.00398136434579,3.0803540852944282,-0.9276086433971515,-0.07637272094863845,-1.00398136434579,1,1,1,https://www.football-data.co.uk/mmz4281/1920/N1.csv
1920|N1|2019-08-03|VVV Venlo|Waalwijk,1920,N1,Netherlands Eredivisie,2019-08-03,VVV Venlo,Waalwijk,3,1,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1500.0,1500.0,0.0,7.0,7.0,1,1,0.5263157894736842,0.23684210526315788,0.23684210526315788,0.582901554404145,0.4170984455958549,0,0,-0.75,0.75,1.8,4.0,4.0,1.61,2.25,2.05,1.75,1.7945947379986087,1.226710527472293,3.0213052654709016,0.5678842105263158,1.2054052620013913,-0.22671052747229292,1,1,1,https://www.football-data.co.uk/mmz4281/1920/N1.csv
1920|N1|2019-08-04|Heracles|Heerenveen,1920,N1,Netherlands Eredivisie,2019-08-04,Heracles,Heerenveen,0,4,3.0,1.4,1.6,1.4,1.6,1.6,1.4,1.4,1.6,1.6,1.4,1500.0,1500.0,0.0,7.0,7.0,1,1,0.4689603590127151,0.2468212415856395,0.2842183994016455,0.6388206388206389,0.3611793611793612,0,0,-0.25,0.25,2.0,3.8,3.3,1.47,2.6,1.89,2.01,1.77496671460245,1.4522368716705125,3.2272035862729624,0.3227298429319374,-1.77496671460245,2.5477631283294873,1,1,1,https://www.football-data.co.uk/mmz4281/1920/N1.csv
1920|N1|2019-08-04|Feyenoord|Sparta Rotterdam,1920,N1,Netherlands Eredivisie,2019-08-04,Feyenoord,Sparta Rotterdam,2,2,3.1666666666666665,1.1666666666666667,2.0,1.1666666666666667,2.0,2.0,1.1666666666666667,1.1666666666666667,2.0,2.0,1.1666666666666667,1500.0,1500.0,0.0,7.0,7.0,1,1,0.7046463956269218,0.17039631021523746,0.12495729415784079,0.695067264573991,0.30493273542600896,0,0,-1.5,1.5,1.33,5.5,7.5,1.36,3.1,2.0,1.9,2.3159766372715724,1.179086715850322,3.4950633531218944,1.1368899214212504,-0.31597663727157244,0.820913284149678,1,1,1,https://www.football-data.co.uk/mmz4281/1920/N1.csv
1920|N1|2019-08-04|Den Haag|Utrecht,1920,N1,Netherlands Eredivisie,2019-08-04,Den Haag,Utrecht,2,4,3.2857142857142856,1.2857142857142858,2.0,1.2857142857142858,2.0,2.0,1.2857142857142858,1.2857142857142858,2.0,2.0,1.2857142857142858,1500.0,1500.0,0.0,7.0,7.0,1,1,0.25089605734767023,0.27240143369175623,0.4767025089605735,0.5897435897435896,0.41025641025641024,0,0,0.5,0.5,3.8,3.5,2.0,1.6,2.3,1.9,2.0,1.3400554246587808,1.7682747794974907,3.1083302041562715,-0.4282193548387099,0.6599445753412192,2.2317252205025095,1,1,1,https://www.football-data.co.uk/mmz4281/1920/N1.csv
1920|N1|2019-08-04|AZ Alkmaar|For Sittard,1920,N1,Netherlands Eredivisie,2019-08-04,AZ Alkmaar,For Sittard,4,0,3.625,1.375,2.25,1.375,2.25,2.25,1.375,1.375,2.25,2.25,1.375,1500.0,1500.0,0.0,7.0,7.0,1,1,0.7635381181722072,0.1433102314107835,0.09315165041700929,0.7188160676532769,0.28118393234672306,0,0,-2.0,2.0,1.22,6.5,10.0,1.33,3.4,2.02,1.77,2.5320115723871806,1.1711872331413216,3.703198805528502,1.360824339245859,1.4679884276128194,-1.1711872331413216,1,1,1,https://www.football-data.co.uk/mmz4281/1920/N1.csv
1920|N1|2019-08-09|Sparta Rotterdam|VVV Venlo,1920,N1,Netherlands Eredivisie,2019-08-09,Sparta Rotterdam,VVV Venlo,4,1,3.6666666666666665,1.6666666666666667,2.0,2.0,2.0,3.0,1.0,1.6666666666666667,2.0,2.0,1.6666666666666667,1501.8493246116866,1510.1068374815086,-8.257512869821994,5.0,5.0,0,0,0.5687203791469194,0.2606635071090047,0.17061611374407581,0.582901554404145,0.4170984455958549,0,0,-0.75,0.75,1.65,3.6,5.5,1.61,2.25,1.91,1.99,1.9500527907133338,1.2179191414242343,3.167971932137568,0.7321336492890995,2.049947209286666,-0.2179191414242343,1,1,1,https://www.football-data.co.uk/mmz4281/1920/N1.csv
